gu,cctv,shelter,users,year,crime
강남구,430,81,347,2014,754
강동구,99,20,5780,2014,178
강북구,120,29,5625,2014,217
강서구,258,21,200,2014,307
관악구,260,24,6578,2014,460
광진구,78,21,2014,2014,323
구로구,173,20,10134,2014,402
금천구,51,10,7086,2014,246
노원구,57,15,1696,2014,294
도봉구,159,22,4526,2014,207
동대문구,23,22,1558,2014,210
동작구,341,23,4180,2014,427
마포구,118,37,3286,2014,415
서대문구,50,16,7400,2014,868
서초구,157,40,4401,2014,442
성동구,91,14,2385,2014,193
성북구,78,28,2472,2014,224
송파구,21,42,4428,2014,380
양천구,142,10,1597,2014,244
영등포구,214,26,13977,2014,348
용산구,218,34,63,2014,262
은평구,224,6,4515,2014,224
종로구,314,26,7347,2014,301
중구,190,30,83,2014,390
중랑구,121,11,461,2014,207
강남구,584,78,3341,2015,1152
강동구,155,51,12797,2015,207
강북구,138,29,10507,2015,205
강서구,184,21,3554,2015,349
관악구,390,38,18463,2015,403
광진구,53,23,6533,2015,362
구로구,246,26,13580,2015,497
금천구,269,11,18323,2015,201
노원구,451,24,5766,2015,318
도봉구,42,22,3467,2015,156
동대문구,198,35,5588,2015,225
동작구,103,31,8350,2015,497
마포구,169,36,1202,2015,673
서대문구,68,18,7227,2015,212
서초구,336,40,22185,2015,578
성동구,241,17,8043,2015,253
성북구,360,28,6789,2015,264
송파구,68,39,24221,2015,390
양천구,30,13,5012,2015,329
영등포구,195,27,16315,2015,489
용산구,112,32,4994,2015,252
은평구,278,7,6789,2015,291
종로구,211,25,8861,2015,404
중구,72,30,2935,2015,438
중랑구,177,11,8448,2015,331
강남구,932,151,2448,2016,789
강동구,377,52,15910,2016,194
강북구,204,39,13833,2016,253
강서구,81,40,4235,2016,346
관악구,613,47,14403,2016,400
광진구,174,39,5990,2016,400
구로구,323,42,13438,2016,402
금천구,354,16,17781,2016,233
노원구,516,36,7296,2016,210
도봉구,386,29,4800,2016,182
동대문구,579,53,7259,2016,240
동작구,314,34,15268,2016,423
마포구,379,49,1039,2016,681
서대문구,292,21,9579,2016,225
서초구,398,72,15102,2016,600
성동구,265,24,13170,2016,198
성북구,204,52,7600,2016,213
송파구,463,63,13297,2016,309
양천구,467,21,7641,2016,183
영등포구,373,40,13152,2016,475
용산구,398,37,6355,2016,310
은평구,468,36,12556,2016,235
종로구,630,37,6970,2016,303
중구,348,39,4901,2016,343
중랑구,109,38,7815,2016,195
